filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m,T_sky_K,Transmission
98120714_geop5000.parquet,0.1745740348839233,267.4197290847458,268.74829805876493,277.0,6069.917205898623,1345.2554757549722,2.918917849101739,0.9888296479597171
98120723_geop5000.parquet,1.2884906823764095,266.7352394967688,265.70693655297043,270.81,5568.306344702954,631.8059505891175,10.601533770749086,0.9600191304870384
98120805_geop5000.parquet,0.715884877713294,265.572941918776,267.1902986933817,266.64,5647.289817531117,1239.6171835662935,6.7840493468320595,0.9742446383446473
98120905_geop5000.parquet,0.78674677737605,266.4611126480225,268.310275242634,269.28,5783.024973040663,1001.3175175853008,6.927226447349721,0.973725046461518
98120915_geop5000.parquet,1.158155619861256,270.1179533922108,269.66722153633566,281.58,5776.161678514937,608.7104687547966,9.146937958242296,0.9657826001340032
98120923_geop5000.parquet,2.8329511465701027,263.74563313709064,264.64071495221765,273.45,6314.472206841302,861.5632831625829,19.17535135222874,0.9271942902402994
98121015_geop5000.parquet,0.9597781642158356,269.2308316352364,268.9833721778458,281.07,5915.219491139885,689.5603277067991,7.724088770538633,0.9709968564259859
98121023_geop5000.parquet,1.7298017411996798,264.5149603530629,266.752001016714,273.45,6281.195486405319,1088.7060339363622,12.323559687425004,0.9532835425997345
98121105_geop5000.parquet,1.5391891374185136,263.7832068710929,264.0735517687632,272.04,6493.449083872263,1152.1060849317262,10.826967877473136,0.9588703285106702
98121115_geop5000.parquet,1.920385694900205,265.92786147629965,265.68343689839656,279.57,6401.2003032293815,923.5125832104588,13.107619495674298,0.9505809493852176
98121123_geop5000.parquet,2.8323921434189527,263.8664821256887,264.8122420726505,271.48999999999995,6454.453950765571,955.5300345204504,18.75867187809266,0.9288518339943472
99021718_geop5000.parquet,5.4918931284104255,268.06230588524096,267.9444828207544,280.26,6145.665384666413,972.808651406423,37.16294858987616,0.8616539049962515
99030415_geop5000.parquet,5.04378062179076,267.7267255605544,267.8494217192147,275.83,6150.578280785272,1093.5066907784392,34.39478221325127,0.8717898297098163
99030615_geop5000.parquet,5.858438848494114,267.8672279224526,268.3253998395325,274.79,6131.307733453195,1085.0220638229664,40.344626473477,0.8498227059620909
99030915_geop5000.parquet,4.484917358362994,270.54180543827727,271.45992525920883,279.79,5973.381751215946,974.3393775115414,31.28612563801184,0.88451238530021
